Archetype,Recency,Frequency,Average_Order_Value,Average_Session_Duration,Cart_Abandonment_Rate,Product_Views_per_Session,Last_Used_Platform,Total_Spend_Last_Year,Customer_Support_Interactions_Score
Window Shoppers,77,0,0,30565,0.9448,26,Web,0,7.18
Champions,6,31,172.87,6586,0,1,Web,4842.19,9.36
Champions,9,28,226.21,7471,0.07,3,Web,5979.02,5.93
Champions,7,17,223.26,7029,,3,Tablet,3642.91,2.67
Loyal Low-Spenders,17,21,27.09,8826,0.0366,3,Web,507.78,
Potential High-Value,63,4,303.39,21630,0.2702,16,Web,1247.99,5.37
At-Risk,278,2,41.11,3414,0.5134,1,Mobile App,79.7,4.88
Loyal Low-Spenders,21,8,27.24,8608,0.0022,4,Mobile App,215.77,6.11
Champions,9,23,213.24,7355,0.0008,4,Web,4447.8,2.56
Loyal Low-Spenders,17,16,34.44,11215,0.0115,1,Mobile App,659.09,4.64
Potential High-Value,55,1,298.63,23880,0.329,13,Web,330.86,6.49
At-Risk,251,1,38.94,3591,0.3949,3,Web,46.74,5.69
Window Shoppers,77,0,0,34180,0.9155,30,Web,0,9.98
Loyal Low-Spenders,25,16,34.73,7255,0.0067,2,Web,663.07,6.22
Window Shoppers,88,0,0,35909,0.9651,30,Mobile App,0,4.68
Window Shoppers,106,0,0,37469,0.9429,29,Web,0,4.37
Champions,7,23,225.81,8402,0.0076,2,Web,5137.17,7.27
Potential High-Value,66,1,279.54,24648,0.2826,13,Mobile App,252.34,4.56
Champions,7,27,228.06,6526,0.0002,4,Web,6860.14,3.36
At-Risk,287,1,41.34,4418,0.5575,1,Mobile App,43.41,5.05
Loyal Low-Spenders,19,23,32.16,5959,0.0386,1,Tablet,765.12,2.5
Potential High-Value,57,1,354,25415,0.2667,20,Web,364.77,6
Potential High-Value,61,1,358.03,22083,0.2468,15,Mobile App,343.63,6.71
Loyal Low-Spenders,17,15,28.06,13290,0.0282,4,Web,435.59,4.59
Champions,11,24,218.22,7868,0.0003,3,Web,4637.14,7.59
Loyal Low-Spenders,17,15,29.1,8704,0.0061,1,Tablet,376.94,2.43
Window Shoppers,74,0,0,41808,0.9927,31,Web,0,6.46
Potential High-Value,44,1,281.21,24135,0.1478,18,Mobile App,293.08,7.35
At-Risk,270,1,59.71,4375,0.4666,1,Tablet,60.7,7.34
Potential High-Value,65,1,288.32,21144,0.346,16,Mobile App,325.83,6.41
Window Shoppers,105,0,0,39730,0.9458,27,Web,0,1.67
At-Risk,296,1,62.92,4729,0.3331,0,Web,67.09,7.38
Window Shoppers,52,0,0,33489,0.9374,28,Web,0,8.08
At-Risk,279,0,60.23,3253,0.4327,0,Mobile App,0,6.18
Loyal Low-Spenders,21,18,30.82,9208,0.0443,3,Web,617.98,1.29
Window Shoppers,102,0,0,38314,0.9193,28,Web,0,5.02
At-Risk,281,0,34.78,6367,0.5003,3,Tablet,0,
Window Shoppers,53,0,0,36524,0.9789,23,Web,0,8.46
Champions,11,20,224.41,6161,0.0002,3,Mobile App,4100.98,3.74
Window Shoppers,77,0,0,35459,0.9629,33,Mobile App,0,3.54
At-Risk,282,1,62.59,5037,0.4249,0,Web,63.05,3.85
Potential High-Value,48,3,329.39,22699,0.3855,17,Web,1175.33,2.43
At-Risk,270,0,47.72,4081,0.5213,3,Tablet,0,7.42
Potential High-Value,65,1,369.58,,0.3447,21,Web,370.15,5.63
Potential High-Value,45,4,312.52,22353,0.3932,9,Web,1088.55,2.37
Potential High-Value,49,3,301.69,24566,0.2898,14,Web,1028.55,7.13
Potential High-Value,58,1,325.94,24186,0.2536,18,Mobile App,348.55,6.41
Champions,8,31,214.79,6851,0.0013,1,Web,6695.8,7.37
Champions,3,23,215.76,8749,0.0059,3,Web,5481.3,4.66
Champions,11,24,217.28,7132,0.0042,4,Mobile App,4871.61,6.09
Window Shoppers,87,1,5.75,37036,0.9649,24,Web,5.97,5.2
Loyal Low-Spenders,18,19,27.89,8525,0.0204,1,Mobile App,509.95,3.87
Champions,6,19,204.39,7157,0.0023,4,Mobile App,4265.28,5.89
Loyal Low-Spenders,17,18,32.82,9242,0.0753,2,Mobile App,569.74,6.11
Loyal Low-Spenders,23,12,30.27,6805,,4,Web,355.8,3.92
At-Risk,239,1,41.79,4869,0.4668,3,Tablet,32.79,3.04
Window Shoppers,99,0,0,35976,0.9571,22,Web,0,8.48
At-Risk,219,3,47.52,4418,0.5241,0,Web,132.26,7.03
Loyal Low-Spenders,28,16,30.71,9791,0.0222,5,Mobile App,564.31,2.88
Loyal Low-Spenders,22,25,29.31,5910,0.0208,2,Web,777.61,6.43
Window Shoppers,71,0,0,36153,0.9358,27,Mobile App,0,2.07
Potential High-Value,47,1,294.41,26240,0.29,26,Web,298.37,5.02
At-Risk,288,1,49.39,6356,0.5436,1,Mobile App,54.93,3.44
Loyal Low-Spenders,21,11,30.93,8796,0.0713,1,Mobile App,411.66,4.68
At-Risk,264,0,52.12,2958,0.4556,1,Web,0,4.61
At-Risk,289,0,65.04,3969,0.5669,2,Tablet,0,6.28
At-Risk,256,1,42.3,3433,0.5975,1,Mobile App,42.93,4.67
Loyal Low-Spenders,21,17,26.19,11694,0.0096,4,Mobile App,447.18,6.17
Potential High-Value,67,1,294.01,25943,0.3448,22,Tablet,296.9,2.7
At-Risk,270,0,61.56,,0.4109,0,Web,0,3.1
Loyal Low-Spenders,19,16,26.12,7867,0.0275,2,Web,323.18,3.25
At-Risk,266,2,53.6,3761,0.5155,3,Web,109.3,3.98
Potential High-Value,61,6,325.96,21524,0.3513,22,Web,2411.77,7.33
Loyal Low-Spenders,20,17,28.63,9177,0.0656,4,Mobile App,451.75,10
Window Shoppers,82,0,0,36783,0.9593,21,Tablet,0,6.16
Champions,8,32,214.84,8277,0.0009,1,Mobile App,6760.08,7.31
Champions,7,23,221.05,8011,0.0032,4,Web,4742.35,3.57
Loyal Low-Spenders,17,20,36.24,8274,0.0103,2,Mobile App,895.5,2.92
Loyal Low-Spenders,13,16,28.66,6043,0.008,6,Web,553.55,5.95
Champions,6,27,181.12,6624,0.0001,1,Tablet,5174.44,2.35
Loyal Low-Spenders,23,21,30.75,9087,0.0238,4,Web,588.69,2.17
Window Shoppers,102,0,0,35543,0.9543,29,Web,0,4.47
At-Risk,256,0,56.76,4516,0.5932,3,Mobile App,0,4.59
Loyal Low-Spenders,19,17,30.61,9481,0.0316,2,Web,542.35,2.62
Potential High-Value,68,3,326.61,21611,0.3108,27,Tablet,1103.04,4.48
Loyal Low-Spenders,19,11,33.88,9480,0.0263,5,Mobile App,373.88,2.68
Potential High-Value,71,3,313.87,19788,0.269,14,Tablet,932.17,6.01
Loyal Low-Spenders,21,22,28.96,7467,,7,Web,564.23,5.21
Loyal Low-Spenders,21,24,28.68,10360,0.0165,8,Web,671.88,5.71
Champions,10,17,199.7,6683,0,1,Web,4021.14,6.53
Window Shoppers,87,0,0,34874,0.962,21,Web,0,3.38
Champions,7,25,221.32,6225,0.0002,1,Web,5225.8,6.66
At-Risk,249,1,66.68,4006,0.517,2,Mobile App,75.46,5
Champions,7,31,192.81,6944,0.0604,2,Web,5667.21,9.61
At-Risk,257,0,54.62,4724,0.6101,2,Mobile App,0,7.48
Champions,7,27,227.54,6326,0.0285,6,Mobile App,5945.12,5.94
At-Risk,275,2,38.01,3864,0.5578,0,Mobile App,64.92,6.01
Window Shoppers,46,0,0,33010,0.9595,26,Mobile App,0,6.39
At-Risk,254,0,43.65,2194,0.5254,1,Web,0,6.16
At-Risk,253,0,55.28,4457,0.4497,3,Web,0,8.45
Window Shoppers,74,0,0,33592,0.9551,27,Web,0,8.61
Champions,10,30,230.39,6801,0.0444,3,Mobile App,6419.3,2.69
Champions,7,36,220.99,7885,0.0005,2,Mobile App,7464.14,7.38
At-Risk,263,0,48.31,5202,0.555,4,Web,0,5.12
Window Shoppers,105,0,0,35395,0.8713,29,Web,0,3.84
Loyal Low-Spenders,18,18,27.61,9382,0.0092,7,Mobile App,466.38,4.47
Window Shoppers,68,0,0,35835,0.9555,18,Web,0,1.26
Loyal Low-Spenders,16,15,28.6,10275,0.0486,4,Web,425.98,4.37
Window Shoppers,75,0,0,33700,0.9745,18,Mobile App,0,3.73
Potential High-Value,68,4,349.03,21707,0.3582,15,Mobile App,1199.35,4.46
Champions,7,29,200.66,8176,0.0102,3,Mobile App,5826.31,1.29
Window Shoppers,58,0,0,38009,0.9655,20,Web,0,6.14
Window Shoppers,87,0,0,34576,0.9367,22,Web,0,4.39
At-Risk,258,0,45.55,3747,0.5802,2,Web,0,4.23
Champions,10,25,209.46,8920,0.0032,4,Web,5387.05,4.42
At-Risk,256,0,52.18,5058,0.5151,2,Tablet,0,2.83
Champions,8,26,235.41,8117,0.0098,3,Mobile App,5932.16,3.17
Champions,7,14,222.06,7037,0.0003,1,Mobile App,2748.8,4.63
Loyal Low-Spenders,20,22,36.16,9140,0.0018,7,Mobile App,742.98,4.64
Loyal Low-Spenders,22,10,32.8,5215,0.0465,5,Web,370.12,
Champions,4,30,215.64,7414,0.0076,1,Web,6975.76,5.51
At-Risk,257,0,55.12,1815,0.578,0,Web,0,3.49
Potential High-Value,57,2,308.15,22645,0.4174,15,Mobile App,632.67,8.57
Loyal Low-Spenders,23,26,31.46,10126,0.0084,8,Web,629.37,2.25
Champions,8,27,205.93,5692,0.0171,4,Mobile App,6761.58,5.87
Window Shoppers,110,0,0,42155,0.9115,26,Mobile App,0,3.08
Window Shoppers,84,0,0,32922,,29,Web,0,5.5
At-Risk,263,0,51.12,2908,0.5693,3,Mobile App,0,
Potential High-Value,62,2,251.68,24402,0.323,20,Web,544.89,5.49
At-Risk,269,0,55.84,2940,0.4956,2,Web,0,4.25
Potential High-Value,60,2,353.01,,0.3577,16,Web,605.48,3.82
Champions,6,20,223.53,7534,0.0498,1,Mobile App,4763.01,3.93
